subject,datavyu_bin,onset,offset,who_relation,placed_object,base_object,base_coder,Notes,,,,,,,,,,,,,,,,
30mosub12,115,575000,579999,parent_on,12,12,AP,,,,,,,,,,,,,,,,,
30mosub13,46,230000,234999,child_on,28,2,AP,,,,,,,,,,,,,,,,,
30mosub13,47,235000,239999,child_in,28,2,AP,,,,,,,,,,,,,,,,,
30mosub13,48,240000,244999,child_in,28,2,AP,,,,,,,,,,,,,,,,,
30mosub13,48,240000,244999,child_on,28,2,AP,,,,,,,,,,,,,,,,,
30mosub13,49,245000,249999,child_on,28,2,AP,,,,,,,,,,,,,,,,,
30mosub13,58,290000,294999,parent_in,6,20,AP,,,,,,,,,,,,,,,,,
30mosub13,63,315000,319999,child_in,6,20,AP,,,,,,,,,,,,,,,,,
30mosub13,65,325000,329999,child_in,6,20,AP,,,,,,,,,,,,,,,,,
30mosub13,70,350000,354999,child_in,20,2,AP,,,,,,,,,,,,,,,,,
30mosub13,71,355000,359999,child_in,20,,AP,No SR,,,,,,,,,,,,,,,,
30mosub13,81,405000,409999,child_in,9,20,AP,,,,,,,,,,,,,,,,,
30mosub13,83,415000,419999,child_in,9,,AP,No SR,,,,,,,,,,,,,,,,
30mosub13,93,465000,469999,child_in,6,2,AP,,,,,,,,,,,,,,,,,
30mosub13,94,470000,474999,child_in,6,,AP,No SR,,,,,,,,,,,,,,,,
30mosub13,108,540000,544999,child_in,12,12,AP,,,,,,,,,,,,,,,,,
30mosub13,113,565000,569999,child_in,12,12,AP,,,,,,,,,,,,,,,,,
30mosub13,120,600000,604999,child_in,12,12,AP,,,,,,,,,,,,,,,,,
30mosub14,118,590000,594999,child_in,29,27,AP,,,,,,,,,,,,,,,,,
30mosub15,9,45000,49999,parent_in,3,27,AP,,,,,,,,,,,,,,,,,
30mosub15,16,80000,84999,child_on,9,17,AP,,,,,,,,,,,,,,,,,
30mosub15,42,210000,214999,parent_on,5,2,AP,,,,,,,,,,,,,,,,,
